file1,file2,cloneAmount
Language_en.java,TransactionStep.java,0
ExpressionFunctionTruncate.java,StoreNoCurrentRow.java,0
ViewResult.java,TableView.java,0
CommandCreateDatabase.java,SSSavepoint.java,0
ExpressionFunctionSin.java,BasicTestCase.java,0
ExpressionFunctionDayOfWeek.java,SmallSQLException.java,0
ExpressionFunctionReplace.java,TestExceptionMethods.java,0
ExpressionFunctionLocate.java,ExpressionFunctionReturnString.java,0
TestJoins.java,TestExceptions.java,1
Expressions.java,TestOperatoren.java,0
ExpressionFunctionSubstring.java,Database.java,0
ExpressionFunctionPower.java,TestJoins.java,0
ExpressionFunctionLeft.java,SSDatabaseMetaData.java,0
CommandCreateDatabase.java,TestOther.java,0
ExpressionFunctionMinute.java,ExpressionFunctionDifference.java,0
MutableLong.java,TestOther.java,0
ExpressionFunctionUCase.java,ExpressionFunctionCase.java,0
SSDriver.java,CommandInsert.java,0
BenchTest.java,SSSavepoint.java,0
SSStatement.java,ForeignKeys.java,0
ExpressionFunction.java,TransactionStep.java,0
CommandSet.java,NoFromResult.java,0
Language_de.java,CommandInsert.java,0
MutableFloat.java,RowSource.java,0
MutableNumeric.java,ExpressionFunctionRound.java,0
ExpressionFunctionRadians.java,ExpressionFunctionSpace.java,0
ExpressionFunction.java,StorePageLink.java,0
ExpressionFunctionChar.java,Utils.java,0
IndexScrollStatus.java,Where.java,0
ExpressionFunctionCeiling.java,SQLParser.java,0
ExpressionFunctionFloor.java,LongList.java,0
ExpressionFunctionConvert.java,ExpressionFunctionReturnP1.java,0
StoreNoCurrentRow.java,ExpressionFunctionTimestampDiff.java,0
CommandSelect.java,DateTime.java,0
ExpressionFunctionDifference.java,CreateFile.java,0
ExpressionFunctionSoundex.java,Join.java,0
TestJoins.java,SSDatabaseMetaData.java,0
ExpressionFunctionReturnP1Number.java,ExpressionName.java,0
Table.java,ExpressionFunctionACos.java,0
DataSources.java,ExpressionFunctionReturnFloat.java,0
ExpressionFunctionPower.java,TableViewMap.java,0
Command.java,CommandUpdate.java,0
ExpressionFunctionRadians.java,Expressions.java,0
CommandInsert.java,Store.java,0
IndexDescription.java,ExpressionFunctionMod.java,0
DataSources.java,Columns.java,0
ExpressionFunctionFloor.java,MemoryStream.java,0
BasicTestCase.java,SQLTokenizer.java,0
LongLongList.java,Lobs.java,0
ExpressionFunctionLocate.java,ExpressionFunction.java,0
IndexScrollStatus.java,DataSources.java,0
Column.java,ExpressionFunctionDayOfYear.java,0
MutableDouble.java,ExpressionFunctionCos.java,0
LongList.java,ExpressionFunctionRand.java,0
TestResultSet.java,ExpressionFunctionConvert.java,0
IndexScrollStatus.java,ExpressionFunctionPower.java,0
